username,engagement,like_count,comment_count,share_count,view_count,hashtags,age_group,relatability_label,relatability_score
anon_0039,0.0176890156918687,61,1,0,3505,"['trending', 'pregnancy', 'pregnant', 'fyp', 'vlog', 'sahm', 'pretermlabor', '2under3']",age1,everyday life situation,0.3509282767772674
anon_0040,0.0252156602521566,34,4,0,1507,"['bump', 'cozy', 'pregnantlife', 'fyp', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'bostanten', 'ootdinspo', 'pregnancytiktok']",age1,everyday life situation,0.2686690986156463
anon_0041,0.1673640167364016,74,6,0,478,"['pregnant', 'parents', 'fyp', 'boymom', 'firsttimemom', 'sahm', 'momtok', 'momsoftiktok', 'dadsoftiktok']",age1,relatable content,0.894109308719635
anon_0042,0.0759753593429158,34,3,0,487,"['pregnant', 'sahm', 'thirdtrimester', 'momtok', 'beenpregnantforwaytoolong']",age1,relatable content,0.5168656706809998
anon_0043,0.1083333333333333,31,8,0,360,"['mom', 'mama', 'pregnancy', '10k', 'pregnant', 'momlife', 'partyof5', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'payoffdebt', 'momcozy']",age1,everyday life situation,0.2793968617916107
anon_0044,0.0378787878787878,11,3,1,396,"['mommydaughter', 'baddie', 'grind', 'motherhood', 'viral', 'slay', 'laborday', 'hustlegang', 'wth', 'changeyourlife', 'workfromhome', 'motivate', 'makeithappen', 'youcandoit', 'bigdreams', 'keepfighting', 'hardworker', 'dowork', 'pushyourself', 'wah', 'fyp', 'wh', 'icandothis', 'typing', 'whateverittakes', 'workingfromhome', 'workingmom', 'reachyourgoals', 'hustlemode', 'wfh', 'sahm', 'sahmlife', 'uberdriver', 'goalgetters', 'successgoals', 'medicalinsurance', 'jobhunting', 'jobapplication', 'laptoplifestyle', 'digitalnomad', 'paratii', 'recruiterlife', 'jobsearch', 'strongmind', 'whlife', 'genz', 'keyboardasmr', 'fyps', 'momtok', 'newgrads', 'remotework', 'hardworkpayingoff', 'workfromhomemom', 'howtogethired', 'foryoupage', 'passiveincome', 'lyftdriver', 'interviewtips', 'workfromhomejobs', 'ubereatsdriver', 'biggirljob', 'momsoftiktok', 'typingasmr', 'wedothework', 'healthcareworker', 'pregnanttiktok', 'ridesharedriver', 'wfhlife', 'interviewpreparation', 'gigworker', 'cometoworkwithme', 'hiringimmediately', 'wfhmom', 'remotejob', 'whguru', 'jobinterviewtips', 'remotejobs', 'doordashdriver', 'whdad', 'instacartshopper', 'corporatehumor', 'biggirltiktok', 'wfhhacks', 'wfhdad', 'capcut', 'whmom', 'wfhguru', 'shiftsmart', 'gigjobs', 'corperatejobs', 'remotejobsdaily', 'ghostjobs', 'wthjobs', 'interviewbetter', 'wh2024', '1099contractor', 'usawfh', 'whbabe', 'whsahm', 'whjobshiring2024', 'remotejobsearch2024', 'whjobshiring', 'wfhjobshiring2024', 'whjobshiringimmediately', 'whentryleveljobs', 'whparttimejobs', 'creatorsearchinsights', 'whoossing', 'workingtromnome', 'wthentry', 'usawfhviral']",age1,everyday life situation,0.211258977651596
anon_0045,0.1029411764705882,39,23,1,612,"['pregnancy', 'pregnant', 'babybump', 'sahm', 'momtok', 'secondpregnancy', 'momcontent', 'joyspun']",age1,relatable content,0.3306851089000702
anon_0046,0.048667439165701,39,2,1,863,"['pregnancy', 'pregnant', 'momlife', 'sahm', 'induction', 'momtok', 'momsoftiktok', 'laboranddelivery', 'sahmoftiktok', 'midwivesbrew']",age1,everyday life situation,0.275636225938797
anon_0047,0.07066368362002,10368,150,126,150629,"['pregnant', 'sahm', 'genderreveal', 'babynumber4', 'momsoftiktok', 'intimategenderreveal']",age1,shared experience,0.7567774057388306
anon_0048,0.0651465798045602,18,2,0,307,"['monday', 'ootd', 'pregnant', 'roadto5k', 'boymom', 'mondaymood', 'sahm', 'december2024']",age1,relatable content,0.511965274810791
anon_0049,0.0235849056603773,4,1,0,212,"['journey', 'style', 'pregnancy', 'entrepreneur', 'thenvsnow', 'fyp', 'businesswoman', 'bossmom', 'sahm', 'prepregnancy', 'digitalcreator', 'pregnantanddidntknowit', 'wsham', 'facelessmedia', 'facelesssocialmedia']",age1,relatable content,0.3957121670246124
anon_0005,0.0484540839870789,174,35,1,4334,"['sunday', 'ootd', 'wife', 'pregnant', 'getreadywithme', 'workparty', 'fy', 'fyp', 'sahm', 'christmastiktok', 'fypシ']",age1,relatable content,0.3659829497337341
anon_0050,0.1025641025641025,42,6,0,468,"['morning', 'morningroutine', 'pregnant', 'sahm', 'newmom', 'diml', 'morningvlog', '32weekspregnant', 'thirdtrimester', 'momtok', 'expectingmom', 'sahmsoftiktok', 'creatorsearchinsights']",age1,relatable content,0.3467519879341125
anon_0051,0.1535714285714285,34,8,1,280,"['earlymorning', 'motherhood', 'pregnancy', 'vlog', 'sahm', 'sahmlife', 'nesting', 'morningvlog', 'thirdtrimester', '35weekspregnant', 'momsoftiktok', 'sundayreset']",age1,everyday life situation,0.3662937581539154
anon_0052,0.0459053556248229,155,4,3,3529,"['pregnant', 'babynumber2', 'sahm', 'sahmlife', 'secondtrimester', 'millenialmom', 'momsoftiktok', 'pregnancytiktok']",age1,everyday life situation,0.3059644699096679
anon_0053,0.06008316008316,275,10,4,4810,"['pregnant', 'sahm', 'momsoftiktok']",age1,relatable content,0.4366042912006378
anon_0054,0.0960698689956331,55,8,3,687,"['pregnantlife', 'irishtwins', 'momof4', 'sahm', '2under2', 'momsoftiktok', '3under3', 'backtobackpregnancies', '2024recap']",age1,relatable content,0.9801642894744872
anon_0055,0.0755773268019594,76,32,0,1429,"['pregnantlife', 'pregnancycravings', 'sahm', 'sahmlife', '30weekspregnant', 'pregnancytiktok']",age1,relatable content,0.966555655002594
anon_0056,0.16,16,4,0,125,"['pregnant', 'momlife', 'fyp', 'sahm', 'sahmlife', 'organize', 'cleanwithme', 'momtok', 'fypagee']",age1,everyday life situation,0.9670921564102172
anon_0057,0.09366391184573,33,1,0,363,"['triplets', 'sahm', 'ditl', 'morningvlog', 'pregnanttiktok', 'sahmcontent', 'sahmtok', 'ditlmomvlog']",age1,relatable content,0.26815065741539
anon_0058,0.056782334384858,10,8,0,317,"['hospital', 'foryou', 'pregnant', 'fyp', 'sahm', 'momtok']",age1,relatable content,0.985989511013031
anon_0059,0.2400990099009901,64,26,7,404,"['pregnant', 'momof5', 'sahm', 'ditl', 'momsoftiktok', 'momcontent']",age1,relatable content,0.4347777664661407
anon_0060,0.0240253853127833,35,15,3,2206,"['pregnant', 'momlife', 'momhumor', 'lifewithkids', 'sahm', '39weekspregnant', 'lifewithtoddlers', '9monthspregnant', 'pregnant🤰', 'pregnanthumor', 'cleantok', 'cleaningtok']",age1,relatable content,0.9859959483146667
anon_0061,0.1418563922942206,60,21,0,571,"['travel', 'toddlerlife', 'pregnantlife', 'sahm', 'onthisday', 'momera', 'traveltiktok', 'travelwithkids', 'momsoftiktok']",age1,relatable content,0.2542720735073089
anon_0062,0.0670926517571885,19,1,1,313,"['dojacat', 'riri', 'pregnantlife', 'fyp', 'sahm', 'momlifebelike', 'fypシ', 'cleantok']",age1,everyday life situation,0.9938602447509766
anon_0063,0.1118935317433955,5011,35,7,45159,"['diy', 'pregnancy', 'pregnant', 'momlife', 'fyp', 'storage', 'sahm', 'momsoftiktok']",age1,relatable content,0.2927905619144439
anon_0064,0.0457697642163661,61,5,0,1442,"['mom', 'first', 'motherhood', 'pregnant', 'pregnantlife', 'pregnacy', 'breastfeeding', 'trimester', 'sahm', 'pregnancytest', 'sahw', 'csection', 'pregnancyjourney', 'momtok', 'postpartumjourney', 'momsoftiktok', 'hurricanehelene', 'pregnancytiktok']",age1,shared experience,0.3591219484806061
anon_0065,0.217753120665742,121,36,0,721,"['blessed', 'cravings', 'grateful', 'momlife', 'wifelife', 'pregnantlife', 'fyp', 'foodie', 'besthusbandever', 'sahm', 'digitaldiary', 'girlmom', 'lovelanguage', 'bumpupdate', 'latinacontentcreator', 'picklewhich']",age1,common problem,0.206694945693016
anon_0066,0.1921005385996409,93,11,3,557,"['ootd', 'christian', 'pregnant', 'pigs', 'homestead', 'pregnantlife', 'fyp', 'sahm', 'pigsoftiktok', 'christianmama', 'pregnancyoutfit']",age1,relatable content,0.2373537719249725
anon_0067,0.0871428571428571,57,2,2,700,"['trending', 'sahm', 'influencer', 'girlmom', 'pregnanttiktok', 'fyppppppppppppppppppppppp', 'briaandshay']",age1,relatable content,0.2397738397121429
anon_0068,0.0326797385620915,48,2,0,1530,"['pregnant', 'grwm', 'pregnantlife', 'fyp', 'vlogger', 'vlogging', 'sahm', 'lifeupdate', 'babyupdate', '31weeks', 'quittingmyjob', 'momsoftiktok', 'chitchatgrwm']",age1,shared experience,0.2927893400192261
anon_0069,0.1567658550516804,128178,397,419,822845,"['relateable', 'pregnantlife', 'trickortreat', 'asmr', 'firsttimemom', 'sahm', 'lastminutehalloweencostumes', 'halloween2024']",age1,relatable content,0.509892463684082
anon_0070,0.0831643002028397,146,17,1,1972,"['stm', 'sahm', 'carcleaning', 'thirdtrimester', '38weekspregnant', 'cleaningmotivation', 'momsoftiktok', 'inducelabor', 'cleantok', 'pregnancytiktok', 'nestwithme', 'pregnancytok', 'nestingjourney', 'nestingbeforebaby']",age1,everyday life situation,0.331143319606781
anon_0071,0.0600750938673341,39,9,0,799,"['mom', 'twins', 'pregnancy', 'pregnant', 'fyp', 'twinmom', 'sahm', 'momsoftiktok', 'fypシ']",age1,relatable content,0.7039403915405273
anon_0072,0.1298245614035087,72,2,0,570,"['houstontx', 'fyp', 'sahm', 'maternityshoot', 'pregnanttiktok', 'houstonphotography']",age1,relatable content,0.651581883430481
anon_0073,0.0857027536101892,3365,280,177,44596,"['mama', 'pregnancy', 'pregnant', 'momlife', 'momoftwo', 'sahm', 'sahmlife', 'pregnancyannouncement', 'familyof4', 'tiredmama', 'momtok', 'pregnancytiktok']",age1,everyday life situation,0.2885641753673553
anon_0074,0.0630372492836676,21,1,0,349,"['positivity', 'babyboy', 'pregnancy', 'pregnantlife', 'fyp', 'pumpkinseason', 'pumpkincarving', 'sahm', 'rainbowbaby', '2under2', 'babysfirsthalloween', 'momtok', 'rainbowbabymom']",age1,everyday life situation,0.6029061675071716
anon_0075,0.1018518518518518,45,10,0,540,"['relatable', 'pregnancy', 'foryou', 'fyp', 'sahm', 'momsoftiktok']",age1,relatable content,0.9869123697280884
anon_0076,0.1963470319634703,119,10,0,657,"['cute', 'sisters', 'cutebaby', 'pregnancy', 'fyp', 'mommychallenge', 'sahm', 'csection', 'momtok', 'paratipage', 'momsoftiktokclub']",age1,shared experience,0.420820951461792
anon_0077,0.1003937007874015,50,1,0,508,"['breakfast', 'coffee', 'motherhood', 'morningvibes', 'momlife', 'pregnantlife', 'sahm', 'momof3', '30weekspregnant', 'soloparenting', 'toddlermeals', 'platemytoddlersfoodwithme']",age1,relatable content,0.755111813545227
anon_0043,0.1524064171122994,51,6,0,374,"['christmas', 'santa', 'mama', 'pregnant', 'sahm', 'momtok', 'momsoftiktok', 'pregnanttiktok', 'fypシ゚viral']",age1,relatable content,0.2852039337158203
anon_0078,0.0674536256323777,37,3,0,593,"['pregnancy', 'foryou', 'pregnantlife', 'fyp', 'boymom', 'sahm', 'pregnancytok']",age1,relatable content,0.7928356528282166
anon_0079,0.0576493133184286,644,77,1,12524,"['lifestyle', 'foryou', 'pregnant', 'triplets', 'fyp', 'sahm', '39weekspregnant', 'induction', 'tripletmom', 'momtok', 'foryoupage', '4under3', 'pregnancytiktok']",age1,relatable content,0.4753492176532745
anon_0080,0.0212612612612612,53,4,2,2775,"['pregnancy', 'timeflys', 'sahm', '2under2']",age1,relatable content,0.7820932865142822
anon_0081,0.0891891891891892,31,2,0,370,"['mom', 'latina', 'viral', 'foryou', 'pregnant', 'momlife', 'pregnantlife', 'fyp', 'sahm', 'sahmlife', 'momsoftiktok']",age1,relatable content,0.8316137790679932
anon_0082,0.0535259133389974,60,2,1,1177,"['family', 'husband', 'soup', 'wife', 'cooking', 'humor', 'chef', 'marriage', 'pregnant', 'recipe', 'pregnantlife', 'husbandwife', 'CookWithMe', 'sahm', 'fallmeals']",age1,relatable content,0.2730292081832886
anon_0083,0.032258064516129,15,2,0,527,"['ice', 'craving', 'pregnancy', 'cravings', 'pregnantlife', 'pregnancycravings', 'pregnantlady', 'pregnantmama', 'firsttimemom', 'sahm', 'crushedice', 'cravingsatisfied', 'asmrcrunch', 'pregnancyjourney', 'thirdtrimester', 'pregnantcheck', 'thirdtrimesterbelike', 'pregnancytiktok', 'pregnanttok']",age1,everyday life situation,0.3183141648769378
anon_0084,0.136231884057971,68,25,1,690,"['throwback', 'country', 'diy', 'pregnancy', 'foryou', 'momlife', 'homestead', 'farmlife', 'selfcare', 'sahm', 'girlsgirl', 'chickenmom', 'mentalhealthadvocate', 'momtok', 'signmaker', 'momsoftiktok', 'craftersoftiktok', 'momsover30', 'momcommunity', 'smallbusinesssupport', 'pregnancytiktok', 'momcontentcreator']",age1,shared experience,0.3985202312469482
anon_0037,0.0173374613003096,153,7,8,9690,"['gifts', 'pregnant', 'blackfriday', 'sahm', 'momhacks', 'pregnancypillow', 'comfortgoals', 'momtok', 'momsoftiktok', 'babyregistry', 'expectingmom', 'pregnancymusthaves', 'tiktokshopfinds', 'falldealsforyou']",age1,relatable content,0.9502860903739928
anon_0085,0.0775347912524851,72,6,0,1006,"['cooking', 'foryou', 'pregnant', 'sloppyjoe', 'CookWithMe', 'sahm', 'dinnerideas', '38weekspregnant', 'makedinnerwithme', 'dinnerrecipe']",age1,relatable content,0.2689328193664551
anon_0086,0.1719745222929936,59,19,3,471,"['youngmom', 'boymom', 'wfh', 'sahm', 'thirdtrimester', 'momtok', '38weekspregnant', 'wfhmom', 'momsunder25', 'ohiomomtok', 'creatorsearchinsights']",age1,relatable content,0.4778725802898407
anon_0034,0.1849710982658959,104,54,2,865,"['mom', 'mama', 'motherhood', 'viral', 'pregnancy', 'foryou', 'parati', 'sisterhood', 'momlife', 'fy', 'fyp', 'nest', 'sahm', 'nesting', '34weekspregnant', 'motherhoodunplugged', 'thirdtrimester', 'momsoftiktok', 'momcommunity', 'motherhoodjourney', 'pospartum', 'sahmsoftiktok', 'preppingforbaby', 'nestwithme', 'nursingcart', 'prepforbaby', 'nestingparty', 'momcontentcreator', 'thirdtrimesternesting', 'nestingpartyideas']",age1,relatable content,0.3671442568302154
anon_0087,0.0839729797832955,17223,90,16,206364,"['family', 'lifestyle', 'real', 'morningroutine', 'pregnant', 'grwm', 'realistic', 'momlife', 'vlog', 'sahm', 'firsttrimester']",age1,everyday life situation,0.8749933838844299
anon_0088,0.0581241743725231,42,2,0,757,"['boymom', 'firsttimemom', 'sahm', 'momtobe', 'firsttimeparents', '406life', 'pregnancyjourney']",age1,everyday life situation,0.4400177299976349
anon_0089,0.0356294536817102,25,5,0,842,"['ootd', 'pregnancy', 'momlife', 'fyp', 'yap', 'sahm', 'fypppp']",age1,relatable content,0.2579039931297302
anon_0090,0.0666666666666666,20,2,0,330,"['smile', 'blessed', 'mylife', 'foryou', 'parati', 'babyontheway', 'momlife', 'pregnantlife', 'sahm', 'hyperemesisgravidarum', 'preclampsia', 'pregnanttiktok']",age1,everyday life situation,0.4075178503990173
anon_0091,0.0623885918003565,25,5,5,561,"['love', 'merrychristmas', 'trending', 'pregnancy', 'pregnant', 'happyholidays', 'pregnantlife', 'fyp', 'duedate', '28weeks', 'journy', 'firsttimemom', 'sahm', 'soontobemom', 'thirdtrimester', 'bumpupdate', 'march2025']",age1,relatable content,0.2409971058368683
anon_0092,0.1447154471544715,88,1,0,615,"['mom', 'relationship', 'marriage', 'foryou', 'pregnant', 'married', 'marriedlife', 'momlife', 'fy', '6monthspregnant', 'fyp', 'youngmom', 'boymom', 'babynumber2', 'sahm', 'sahmlife', '2under2', 'youngparents', 'momtok', 'foryoupage', '25weekspregnant', 'momsoftiktok', 'fypシ', 'sahmsoftiktok', 'sahmtok']",age1,everyday life situation,0.3691751360893249
anon_0093,0.0945426829268292,3041,58,2,32800,"['mom', 'pregnancy', 'pregnant', 'momlife', 'pregnantlife', 'fyp', 'sahm', 'foryoupage', 'momsoftiktok', 'prettybamamama']",age1,relatable content,0.264851450920105
anon_0094,0.0902366863905325,240,4,0,2704,"['mama', 'pregnancy', 'fyp', 'sahm', '2under2', 'miraclebabies', '20', 'momtok', 'secondtrimester', 'fertilityjourney', 'goddidnotfail']",age1,relatable content,0.2606896460056305
anon_0095,0.1408071748878923,116,35,6,1115,"['boyfriend', 'relatable', 'trending', 'viral', 'girlfriend', 'pregnancy', 'aboutme', 'trend', 'pregnant', 'michigan', 'postpartum', 'momlife', 'allaboutme', 'boymom', 'gettoknowme', 'sahm', '2under2', 'gtkm', 'momtok', 'fiance', 'michiganmama']",age1,relatable content,0.5087541341781616
anon_0096,0.0143585280954748,205,16,10,16088,"['teamwork', 'pregnancy', 'blackfriday', 'youngmom', 'sponsored', 'sidehustle', 'sahm', 'targettrip', 'cozyvibes', 'affiliatemarketing', 'tiktokshop', 'maternityfashion', 'pregnancystyle', 'tiktokshopaffiliate', 'maternityjumpsuit', 'fallgashion', 'tiktokshopblackfriday']",age1,everyday life situation,0.315497487783432
anon_0097,0.0471698113207547,11,9,0,424,"['siblings', 'littlebrother', 'bigbrother', 'bigsister', 'pregnancy', 'havingababy', 'sahm', 'pregnanttiktok', 'sahmtok']",age1,relatable content,0.2605844140052795
anon_0098,0.1541755888650963,62,9,1,467,"['pregnant', 'momlife', 'pregnantlife', 'sahm', 'thirdtrimester', 'pregnancyhumor', 'momsoftiktok']",age1,relatable content,0.4220914840698242
anon_0099,0.0579310344827586,82,2,0,1450,"['lifestyle', 'reality', 'pregnancy', 'pregnant', 'realistic', 'pregnantlife', 'fyp', 'pregnantbelly', '35weeks', 'sahm', 'amvspm', 'transparency', 'pregnanttiktok', 'lifestylecontent', 'realisticmomlife']",age1,personal experience,0.2824224829673767
